"","Original Est.","Bootstrap Mean","Bootstrap SD","T Stat.","2.5% CI","97.5% CI"
"topo_1  ->  TOPO",0.847596532662067,0.846705310347503,0.0475903918122652,17.810244891567,0.736265479712012,0.922593619821067
"topo_2  ->  TOPO",0.899635650209136,0.898119002507551,0.0322377454793284,27.9062830490427,0.819489443413107,0.948925231442119
"topo_3  ->  TOPO",0.46568832339115,0.463143379954925,0.117070952377028,3.97782980266014,0.21809168825947,0.6650135784763
"topo_4  ->  TOPO",0.916416041866208,0.920593332952815,0.0142798213361031,64.1755957792883,0.894785960152302,0.950451349071101
"hydro_1  ->  HYDRO",1,1,4.33189394614404e-16,NA,0.999999999999999,1
"landcover_1  ->  LANDCOVER",0.904682600592485,0.903783416718194,0.0132837085064817,68.1046712332668,0.877310535600797,0.929528305399205
"landcover_2  ->  LANDCOVER",0.877963080476744,0.88018697163745,0.0186472377457054,47.0827418221204,0.840954065535279,0.913083996678604
"doc_1  ->  DOC",1,1,3.71969868833504e-16,NA,0.999999999999999,1
