ID,watershed,reach,position,DATE,doc_mg.l,TYPE,Time,tdn_mg.l,na_mg.l,nh4_mg.l,K_mg.l,Mg_mg.l,Ca_mg.l,F_mg.l,Cl_mg.l,NO3_mg.l,PO4_mg.l,SO4_mg.l
20,SSFP,SSFP WELL C1.1,C1.1,5/20/21,4.48,monitoring,,0.24,,,,,,,,,,
260,SSFP,SSFP WELL C1.1,C1.1,5/10/22,,monitoring,9:35,,2.72,0.11,2.02,0.85,4.33,0.03,1.61,0.31,0,0.53
270,SSFP,SSFP WELL C1.1,C1.1,5/16/22,,monitoring,12:02,,2.05,0.14,0.92,0.73,3.94,0.02,1.3,0.02,0,0.36
287,SSFP,SSFP WELL C1.1,C1.1,5/24/22,,monitoring,1320,,1.93,0.21,1.33,0.78,4.98,0.01,1.1,0.21,0,0.77
22,SSFP,SSFP WELL C1.5,C1.5,5/20/21,12.02,monitoring,,0.31,,,,,,,,,,
267,SSFP,SSFP WELL C1.5,C1.5,5/16/22,,monitoring,10:15,,2.08,0.07,1.92,0.59,2.78,0.02,1.08,0.04,0.38,0.29
19,SSFP,SSFP WELL C2.1,C2.1,5/20/21,6.66,monitoring,,0.31,,,,,,,,,,
261,SSFP,SSFP WELL C2.1,C2.1,5/10/22,,monitoring,9:55,,2.5,0.27,0.66,0.2,4.36,0.03,3.03,0.04,0,0.2
271,SSFP,SSFP WELL C2.1,C2.1,5/16/22,,monitoring,12:02,,2.05,0.38,1.02,0.16,1.1,0.04,3.7,0.15,0.42,0.23
288,SSFP,SSFP WELL C2.1,C2.1,5/24/22,,monitoring,1330,,2.09,0.12,0.59,0.12,1.24,0.02,3.51,0.3,0,1.34
269,SSFP,SSFP WELL C2.3,C2.3,5/16/22,,monitoring,11:45,,2.6,0.1,0.96,0.97,4.32,0.02,1.35,0.06,0,1.27
18,SSFP,SSFP WELL C3.1,C3.1,5/20/21,6.56,monitoring,,0.45,,,,,,,,,,
262,SSFP,SSFP WELL C3.1,C3.1,5/10/22,,monitoring,11:11,,2.41,0.07,0.71,0.87,4.46,0.02,1.04,0.06,0,0.94
289,SSFP,SSFP WELL C3.1,C3.1,5/24/22,,monitoring,1330,,1.82,0.01,0.61,0.69,3.41,0.02,0.63,0.07,0,2.12
12,SSFP,SSFP WELL F1.1,F1.1,5/20/21,10.85,monitoring,,0.47,,,,,,,,,,
272,SSFP,SSFP WELL F1.1,F1.1,5/16/22,,monitoring,12:25,,3.18,0.15,0.76,0.57,2.94,0.03,1.37,0.45,0,1.83
290,SSFP,SSFP WELL F1.1,F1.1,5/24/22,,monitoring,1345,,1.93,0.04,0.56,0.59,3.56,0.02,0.96,0.08,0,2.41
13,SSFP,SSFP WELL F2.1,F2.1,5/20/21,21.4,monitoring,,0.56,,0.06,0.69,0.76,2.7,0.07,0.81,0.1,0,2.06
263,SSFP,SSFP WELL F2.1,F2.1,5/10/22,,monitoring,11:00,,3.21,0.16,0.97,0.57,3.11,0.03,1.62,1.12,0.38,2.38
273,SSFP,SSFP WELL F2.1,F2.1,5/16/22,,monitoring,12:35,,2.98,0.14,0.74,0.76,3.37,0.03,1.49,0.07,0.36,1.81
291,SSFP,SSFP WELL F2.1,F2.1,5/24/22,,monitoring,1350,,5.11,0.03,0.72,0.72,3.16,0.03,1.06,0.05,0,2.03
15,SSFP,SSFP WELL F2.3,F2.3,5/20/21,23.36,monitoring,,0.91,,,,,,,,,,
268,SSFP,SSFP WELL F2.3,F2.3,5/16/22,,monitoring,11:23,,2.32,0.22,0.98,1.14,5.05,0.03,1.29,0.09,0,1.6
293,SSFP,SSFP WELL F2.3,F2.3,5/24/22,,monitoring,1415,,2.29,0.05,0.63,1.18,5.13,0.02,0.99,0.06,0,1.82
14,SSFP,SSFP WELL F3.1,F3.1,5/20/21,23.68,monitoring,,0.6,2.12,0.02,0.66,0.54,2.15,0.01,0.79,0.09,0,1.65
274,SSFP,SSFP WELL F3.1,F3.1,5/16/22,,monitoring,12:40,,3.15,0.24,0.61,0.9,3.54,0.03,1.48,0.31,0,1.55
292,SSFP,SSFP WELL F3.1,F3.1,5/24/22,,monitoring,1400,,2.09,0.05,0.71,1.03,4.39,0.02,0.69,0.06,0,1.51
9,SSFP,SSFP WELL F3.5,F3.5,5/19/21,24.24,monitoring,,0.86,,,,,,,,,,
37,DH,DH1,lw1,6/2/21,1.74,monitoring,1522,0.31,,,,,,,,,,
90,DH,DH1,lw1,7/15/21,0.9,monitoring,815,0.08,1.94,0.03,1.27,1.92,17.9,0.01,0.29,0.12,0,3.38
153,DH,DH1,lw1,8/18/21,1.04,monitoring,1635,0.13,2.49,0.03,1.66,2.83,19.68,0.02,0.3,0.1,0,2.76
161,DH,DH1,lw1,9/2/21,1.43,monitoring,957,0.11,2.12,0.02,1.68,2.61,20.56,0.02,0.32,0.09,0,3.01
173,DH,DH1,lw1,9/16/21,1.49,monitoring,1020,0.17,2.42,0.02,1.72,2.78,18.41,0.01,0.3,0.17,0,3.14
184,DH,DH1,lw1,9/29/21,1.01,monitoring,1640,0.1,2.37,0.03,1.68,2.87,18.71,0.02,0.37,0.2,0,3.12
285,DH,DH1,lw1,5/17/22,,monitoring,14:00,,2.62,0.06,1.5,2.91,25.01,0.07,0.36,0.07,0,4.43
305,DH,DH1,lw1,5/31/22,,monitoring,1145,,1.5,0.02,1.3,2.15,22.01,0.02,0.32,0.15,0,1.99
323,DH,DH1,lw1,6/7/22,,monitoring,900,,1.88,0.07,1.2,1.91,19.15,0.06,0.32,0.15,0,3.13
405,DH,DH1,lw1,6/22/22,,synoptic,1230,,1.73,0.05,1.04,1.89,15.84,0.04,0.33,0.13,0,3.05
418,DH,DH1,lw1,6/28/22,1.0949653,monitoring,,0.06471,,,,,,,,,,
426,DH,DH1,lw1,7/5/22,1.0793336,monitoring,,0.0753,,,,,,,,,,
445,DH,DH1,lw1,7/11/22,,monitoring,,,1.71,0.02,1.13,1.82,13.35,0.04,0.38,0.18,0,2.39
451,DH,DH1,lw1,7/25/22,,monitoring,,,1.46,0.02,0.94,1.98,17.45,0.05,0.43,0.18,0,2.18
520,DH,DH1,lw1,8/11/22,,synoptic,,,2.54,0.01,1.83,3.2,25.1,0.04,0.64,0.21,0,3.54
522,DH,DH1,lw1,8/22/22,,synoptic,,,2.38,0.03,1.89,3.2,29.41,0.04,0.32,0.27,0,4.82
534,DH,DH1,lw1,9/6/22,,monitoring,,,2.79,0.02,1.73,3.49,39.64,0.05,0.38,0.32,0,5.49
594,DH,DH1,lw1,10/1/22,,monitoring,,,2.23,0,1.78,3.25,29.46,0.04,0.33,0.11,0,5.14
343,DH,DH2,lw1,6/8/22,,monitoring,1115,,2.13,0.01,1.23,1.45,11.71,0.03,0.75,0.07,0,2.33
403,DH,DH2,lw1,6/22/22,,synoptic,1130,,2.31,0.02,1.25,1.45,12.61,0.04,1.38,0.08,0,2.62
515,DH,DH2,lw1,8/11/22,,synoptic,,,3.01,0.05,1.5,2.1,21.33,0.03,0.69,0.12,0,2.58
589,DH,DH2,lw1,10/1/22,,monitoring,,,2.16,0.01,1.55,2.47,21.52,0.02,0.44,0.1,0,3.48
330,DH,DH3,lw1,6/7/22,,monitoring,1200,,1.21,0.02,0.23,1.45,15.1,0.02,0.41,0.32,0,0.81
341,DH,DHN1,lw1,6/8/22,,monitoring,1100,,2.14,0.01,1.08,2.42,21.53,0.04,0.84,0.1,0,2.38
338,DH,DHN2,lw1,6/8/22,,monitoring,1000,,2.06,0.03,0.73,5.22,35.41,0.05,0.5,0.04,0,4.28
86,DH,DHS1,lw1,7/1/21,0.7,monitoring,1147,0.07,1.35,0.03,0.87,2.79,18.54,0.03,0.15,0.08,0,1.64
327,DH,DHS1,lw1,6/7/22,,monitoring,1025,,1.02,0.02,0.56,1.49,18.4,0.03,0.27,0.11,0,1.83
399,DH,DHS1,lw1,6/22/22,,synoptic,1100,,1.89,0.03,0.82,2.55,32.09,0.01,1.08,0.14,0,1.65
511,DH,DHS1,lw1,8/11/22,,synoptic,,,2.25,0.03,0.95,2.16,29.45,0.03,0.45,0.21,0,1.52
145,DH,DHS2,lw1,8/5/21,7.82,monitoring,1150,0.07,1.67,0.04,1,2.64,19.74,0.02,0.19,0.1,0,1.43
201,DH,DHS2,lw1,10/19/21,8.25,monitoring,1635,0.13,1.38,0.02,0.96,2.79,24.35,0.03,0.2,0.11,0,1.51
336,DH,DHS2,lw1,6/8/22,,monitoring,900,,2.32,0.02,0.65,2.32,22.08,0.06,2.27,0.21,0,1.58
394,DH,DHS2,lw1,6/22/22,,synoptic,900,,2.04,0.06,0.66,2.37,35.97,0.03,1.04,0.21,0,1.05
507,DH,DHS2,lw1,8/11/22,,synoptic,,,2.4,0.01,0.83,2.8,33.21,0.03,1.2,0.26,0,1.55
585,DH,DHS2,lw1,9/25/22,,synoptic,,,1.51,0.02,0.65,2.59,31.21,0.02,0.69,0.29,0,2.03
586,DH,DHS2,lw1,10/1/22,,monitoring,,,2.41,0.03,1.03,2.63,28.21,0.01,0.94,0.4,0,2.6
392,DH,DHS3,lw1,6/22/22,,synoptic,815,,2,0.06,0.63,2.27,24.1,0.03,1.54,0.21,0,1.01
45,FC,FC1,lw1,6/2/21,4.15,monitoring,1754,0.25,,,,,,,,,,
149,FC,FC1,lw1,8/18/21,1.94,monitoring,1522,0.15,3.18,0.02,1.37,1.56,5.52,0.09,0.25,0.06,0,2.16
170,FC,FC1,lw1,9/2/21,1.65,monitoring,1301,0.1,3.39,0.04,1.36,1.94,5.69,0.02,0.24,0.14,0,2.72
