"date","sitename","elev","wtr_yr","daily_precip_mm","pcumul.mm","Tair.C","Pdiff.mm","SWE.mm","runoff_input"
2021-10-01,"UFC",3179.442627,2022,4,4,4.8,-708,0,0
2021-10-02,"UFC",3179.442627,2022,0,4,5.2,0,0,0
2021-10-03,"UFC",3179.442627,2022,0,4,6.3,0,0,0
2021-10-04,"UFC",3179.442627,2022,0,4,7.9,0,0,0
2021-10-05,"UFC",3179.442627,2022,0,4,9.6,0,0,0
2021-10-06,"UFC",3179.442627,2022,0,4,6.55,0,0,0
2021-10-07,"UFC",3179.442627,2022,0,4,6.4,0,0,0
2021-10-08,"UFC",3179.442627,2022,1,5,6.45,1,5.1308,1
2021-10-09,"UFC",3179.442627,2022,11,16,1.25,11,7.6962,0
2021-10-10,"UFC",3179.442627,2022,0,16,-0.05,0,12.827,0
2021-10-11,"UFC",3179.442627,2022,0,16,2.3,0,10.2616,0
2021-10-12,"UFC",3179.442627,2022,5,21,-0.55,5,12.827,0
2021-10-13,"UFC",3179.442627,2022,2,23,-4.3,2,15.3924,0
2021-10-14,"UFC",3179.442627,2022,7,30,-5,7,15.3924,0
2021-10-15,"UFC",3179.442627,2022,0,30,-5.95,0,23.0886,0
2021-10-16,"UFC",3179.442627,2022,0,30,0.2,0,23.0886,0
2021-10-17,"UFC",3179.442627,2022,0,30,5.05,0,28.2194,0.587427943206738
2021-10-18,"UFC",3179.442627,2022,0,30,5.2,0,30.7848,0.970834309835798
2021-10-19,"UFC",3179.442627,2022,1,31,-0.95,1,30.7848,0
2021-10-20,"UFC",3179.442627,2022,0,31,0.15,0,28.2194,0
2021-10-21,"UFC",3179.442627,2022,0,31,2.8,0,30.7848,0
2021-10-22,"UFC",3179.442627,2022,0,31,4.4,0,33.3502,0
2021-10-23,"UFC",3179.442627,2022,0,31,4,0,33.3502,0
2021-10-24,"UFC",3179.442627,2022,4,35,2.1,4,33.3502,0
2021-10-25,"UFC",3179.442627,2022,0,35,8.25,0,35.9156,8.76676376462669
2021-10-26,"UFC",3179.442627,2022,8,43,0.9,8,38.481,0
2021-10-27,"UFC",3179.442627,2022,4,47,-5.2,4,41.0464,0
2021-10-28,"UFC",3179.442627,2022,0,47,-2.05,0,46.1772,0
2021-10-29,"UFC",3179.442627,2022,0,47,1.9,0,46.1772,0
