"PARAF_comp_1","PARAF_comp_2","PARAF_comp_3","total_loadings","Sample","relative_load_comp_1","relative_load_comp_2","relative_load_comp_3"
10.0114629360642,3.19735764536553,3.84690792285401,17.0557285042837,"FEF068",0.586985359995013,0.187465322549106,0.225549317455881
11.6912140151547,3.42332053074062,4.70942789307534,19.8239624389707,"FEF074",0.589751622620698,0.17268598754056,0.237562389838742
5.81877748426185,1.76359853604035,1.71263940708404,9.29501542738624,"FEF075",0.626010524642893,0.189735945014594,0.184253530342513
18.0453126188184,5.5874235965336,15.0900748992684,38.7228111146204,"FEF079",0.466012463955776,0.144292819547494,0.38969471649673
2.3991846902789,0.704331273277944,1.64606074211964,4.74957670567648,"FEF103",0.505136528779818,0.148293483172123,0.346569988048059
15.8568373280855,5.23413512803442,1.77454933663167,22.8655217927516,"FEF117",0.693482417405937,0.228909498566249,0.0776080840278134
10.9665112177584,3.58279358249498,1.47743581851411,16.0267406187675,"FEF118",0.684263349524512,0.223550980684089,0.0921856697913997
41.2527830480985,15.0324979764406,3.39110179413785,59.6763828186769,"FEF215",0.69127485781842,0.251900287289796,0.0568248548917837
10.6947598226947,4.12232235382861,1.41192571806699,16.2290078945903,"FEF216",0.658990364177446,0.25400951066163,0.0870001251609244
8.43089234472465,2.88903782194154,1.65841073599412,12.9783409026603,"FEF230",0.649612489605392,0.222604556592387,0.127782953802221
6.76676199155925,1.89077137490918,2.0190560089201,10.6765893753885,"FEF232",0.633794347018521,0.177095073007842,0.189110579973637
7.20679658249767,2.29098808650396,2.12552441708511,11.6233090860867,"FEF233",0.620029677359634,0.197102913596809,0.182867409043557
10.9532954413486,3.80751302593754,1.2777457461654,16.0385542134515,"FEF234",0.682935337909826,0.237397521950213,0.0796671401399608
7.83931997069372,2.57251985996757,1.36300905222142,11.7748488828827,"FEF235",0.66576820209471,0.218475828059865,0.115755969845426
7.08540756820395,2.57382055577574,3.61322810185592,13.2724562258356,"FEF237",0.533842978846055,0.193921947225235,0.27223507392871
9.13361439834238,3.2368402684228,1.84272116591014,14.2131758326753,"FEF238",0.642616013892173,0.227735187865718,0.129648798242109
7.15619598419434,2.64100369439437,1.17389243998065,10.9710921185694,"FEF239",0.652277449396489,0.240723864666516,0.106998685936995
3.77798166503092,1.39119929786032,3.97068242967676,9.139863392568,"FEF240",0.413352093216509,0.152212263805995,0.434435642977496
7.07150812175195,2.03969526132345,1.55512266901759,10.666326052093,"FEF241",0.662975056942343,0.19122753714464,0.145797405913017
9.14917909745792,3.28714217239092,0.976873188218833,13.4131944580677,"FEF242",0.682102919335143,0.245067808616894,0.0728292720479625
7.49405325122836,2.88950994388444,3.42580230842184,13.8093655035346,"FEF243",0.542679042662039,0.209242773909116,0.248078183428846
2.84722114610926,0.973770535726021,2.3915046345343,6.21249631636958,"FEF244",0.458305486412441,0.156743841144853,0.384950672442706
3.60263530265077,1.45927051963418,3.77824594993903,8.84015177222397,"FEF245",0.407530933345551,0.165073016531147,0.427396050123301
7.52314176755953,2.80005552087785,2.33401303060209,12.6572103190395,"FEF247",0.594375978428906,0.221222169048254,0.18440185252284
3.7829960092271,1.48105282531437,2.77980739433055,8.04385622887203,"FEF248",0.470296323254597,0.184122239778278,0.345581436967125
3.84093489882399,1.12385486188304,0.699656211274606,5.66444597198163,"FEF249",0.678077771034029,0.19840508099857,0.123517147967401
15.0305216261155,5.40157695057684,2.4306890014575,22.8627875781499,"FEF250",0.657422966238829,0.236260645475233,0.106316388285938
7.47673544278755,2.50380432406634,0.853142717534285,10.8336824843882,"FEF251",0.690137952036333,0.231112950529465,0.0787490974342014
90.6102116050004,25.4877780427212,15.1518584845321,131.249848132254,"FEF256",0.690364315802462,0.19419281930931,0.115442864888227
25.5680884349462,7.00210792903925,6.03423768850915,38.6044340524946,"FEF257",0.662309630033133,0.181380924261647,0.15630944570522
65.8037594361033,22.2911614599521,8.3665288031863,96.4614496992417,"FEF258",0.682176762232722,0.231088808321396,0.0867344294458813
71.602022705284,23.8930923161861,10.091165208823,105.586280230293,"FEF259",0.678137562466577,0.226289743933333,0.0955726936000898
58.8537739060237,18.6277971285185,24.0794472523984,101.561018286941,"FEF278",0.579491766612107,0.183414832213373,0.237093401174521
1.79244818992848,0.397444191096741,1.72283649962927,3.91272888065449,"FEF296",0.45810692348013,0.101577237580095,0.440315838939775
13.5084747220922,4.95826879474691,2.18984866800897,20.656592184848,"FEF300",0.653954660149647,0.240033242191027,0.106012097659325
29.334789657095,8.38188994196175,7.75660989064334,45.4732894897,"FEF304",0.645099353626912,0.184325568614522,0.170575077758565
20.7706490519793,6.37768239260892,3.8471045827337,30.995436027322,"FEF305",0.670119595467873,0.205761983376749,0.124118421155377
8.63016124730678,2.36047224079495,1.35286114893328,12.343494637035,"FEF307",0.699166767684504,0.191232087039003,0.109601145276493
17.6569836268961,6.4138773977301,8.0055956514343,32.0764566760605,"FEF311",0.550465526950611,0.199955919773301,0.249578553276088
10.9610983002883,3.41378503489079,2.98464796969859,17.3595313048777,"FEF313",0.631416719022157,0.196651912712159,0.171931368265684
62.229176160421,17.2915007201222,8.83548637257324,88.3561632531165,"FEF314",0.704299212066863,0.195702258716087,0.0999985292170503
10.1361779828038,3.0510282552686,2.16406251859803,15.3512687566704,"FEF315",0.660282752094965,0.198747628201276,0.140969619703759
11.317524391927,3.1981100546426,1.27832107360523,15.7939555201748,"FEF316",0.716573145813298,0.202489493563371,0.0809373606233309
49.1123805976118,14.963394915969,6.28792205978409,70.363697573365,"FEF320",0.697978962040826,0.212657882288909,0.0893631556702654
