ID,watershed,reach,position,DATE,doc_mg.l,TYPE,Time,tdn_mg.l,na_mg.l,nh4_mg.l,K_mg.l,Mg_mg.l,Ca_mg.l,F_mg.l,Cl_mg.l,NO3_mg.l,PO4_mg.l,SO4_mg.l
82144,HQ,HQ W/D,stream,1/2/20,0.29,monitoring,1200,0.08,0.02,0.02,0,0.22,0.07,0,0.01,0.22,0,0.03
82145,HQ,HQ N-CON,stream,1/2/20,0.28,monitoring,1200,0.11,0.01,0.04,0,0.03,0.08,0,0.02,0.36,0,0.07
82146,HQ,FEF DI,stream,1/7/20,0.08,monitoring,,0.01,0.02,0.01,0.02,0.01,0.01,0,0.01,0.01,0,0.02
82149,Fcex,FCALP BULK,stream,1/7/20,1.06,monitoring,1220,0.17,0.02,0.05,0.05,0.01,0.1,0.01,0.11,0.37,0,0.1
82150,HQ,HQ W/D,stream,1/7/20,0.65,monitoring,1340,0.24,0.04,0.1,0.04,0.36,0.1,0.01,0.03,0.54,0,0.04
82151,HQ,HQ BULK,stream,1/7/20,1.42,monitoring,1340,0.3,0.01,0.14,0,0.02,0.18,0,0.04,0.5,0,0.01
82152,HQ,HQ N-CON,stream,1/7/20,0.62,monitoring,1340,0.27,0.02,0.14,0.02,0.01,0.16,0,0.06,0.59,0,0.06
82155,Fcex,FCALP BULK,stream,1/15/20,0.93,monitoring,1240,0.18,0.02,0.07,0.09,0.01,0.29,0,0.05,0.46,0,0.01
82156,HQ,HQ N-CON,stream,1/15/20,0.48,monitoring,1420,0.22,0.04,0.1,0.01,0.02,0.29,0,0.04,0.64,0,0.16
82157,HQ,HQ BULK,stream,1/15/20,1.71,monitoring,1420,0.35,0.04,0.11,0.01,0.02,0.41,0,0.05,0.69,0,0.02
82158,HQ,HQ W/D,stream,1/15/20,0.3,monitoring,1420,0.16,0.1,0.05,0.1,0.67,0.19,0,0.03,0.46,0,0.09
82161,Fcex,FCALP BULK,stream,1/21/20,1.3,monitoring,1230,0.18,0.02,0.05,0.01,0.06,0.41,0.02,0.01,0.18,0,0.11
82162,HQ,HQ W/D,stream,1/21/20,0.62,monitoring,1300,0.1,0.03,0.06,0.01,0.11,0.11,0.02,0,0.12,0,0.17
82163,HQ,HQ N-CON,stream,1/21/20,0.67,monitoring,1300,0.15,0.03,0.09,0.02,0.11,0.42,0.01,0.04,0.22,0,0.13
82164,HQ,HQ BULK,stream,1/21/20,2.25,monitoring,1300,0.32,0.03,0.09,0.01,0.05,0.17,0.01,0.01,0.21,0,0.13
82168,HQ,HQ N-CON,stream,1/28/20,0.66,monitoring,1030,0.2,0.14,0.09,0.08,0.07,0.28,0.02,0,0.43,0,0.44
82169,HQ,HQ SNOW,stream,1/28/20,0.6,monitoring,1030,0.15,0.03,0.09,0.02,0.04,0.36,0.02,0.01,0.35,0,0.12
82170,HQ,HQ W/D,stream,1/28/20,0.62,monitoring,1030,0.14,0.05,0.08,0,0.02,0.2,0.03,0,0.22,0,0.12
82171,HQ,HQ BULK,stream,1/28/20,1.71,monitoring,1030,0.32,0.04,0.11,0.01,0.04,0.23,0,0.01,0.38,0,0.24
82172,Fcex,FCALP SNOW,stream,1/28/20,0.59,monitoring,1220,0.15,0.03,0.07,0.02,0.03,0.49,0.02,0.03,0.15,0,0.11
82173,Fcex,FCALP BULK,stream,1/28/20,1.05,monitoring,1220,0.18,0.08,0.06,0.01,0.03,0.27,0,0.02,0.19,0,0.05
82176,HQ,HQ N-CON,stream,2/3/20,2.14,monitoring,1050,0.34,0.16,0.15,0.04,0.07,0.36,0,0.04,0.85,0,0.01
82177,Fcex,FCALP BULK,stream,2/3/20,3.05,monitoring,1330,0.41,0.01,0.09,0.07,0.07,0.21,0,0.07,0.41,0,0.04
82180,Fcex,FCALP BULK,stream,2/19/20,0.38,monitoring,1200,0.1,0.03,0.05,0.01,0,0.45,0,0.05,0.24,0,0.12
82181,HQ,HQ BULK,stream,2/19/20,0.82,monitoring,1230,0.35,0.02,0.1,0.01,0.04,0.24,0.01,0.03,0.25,0,0.13
82182,HQ,HQ W/D,stream,2/19/20,0.76,monitoring,1230,0.14,0.03,0.09,0,0.03,0.06,0,0.03,0.3,0,0.04
82183,HQ,HQ N-CON,stream,2/19/20,0.32,monitoring,1230,0.15,0.03,0.11,0.02,0.1,0.27,0,0.04,0.25,0,0.19
82186,Fcex,FCALP SNOW,stream,2/26/20,0.79,monitoring,1000,0.18,0.01,0.09,0.01,0.08,0.06,0,0.04,0.26,0,0.01
82187,HQ,HQ SNOW,stream,2/26/20,0.66,monitoring,1020,0.11,0,0.08,0,0,0.24,0,0.04,0.21,0,0.01
82188,HQ,HQ BULK,stream,2/26/20,0.32,monitoring,1020,0.12,0.27,0.09,0.05,0.02,0.36,0,0.26,0.21,0,0.73
82189,HQ,HQ N-CON,stream,2/26/20,1.89,monitoring,1020,0.36,0.19,0.09,0.05,0.08,0.23,0,0.21,0.21,0,0.79
82190,Fcex,FCALP BULK,stream,2/26/20,2.05,monitoring,1300,0.37,0.07,0.23,0.12,0.01,0.16,0.03,0.12,0.52,0,0.31
82194,Fcex,FCALP BULK,stream,3/2/20,1.5,monitoring,940,0.4,0.04,0.23,0.01,0.01,0.09,0.05,0.08,0.73,0,0.15
82195,HQ,HQ N-CON,stream,3/2/20,0.6,monitoring,1020,0.4,0.08,0.29,0,0,0.12,0,0.1,0.75,0,0.16
82196,HQ,HQ BULK,stream,3/2/20,1.62,monitoring,1020,0.43,0.06,0.3,0,0.09,0.11,0.01,0.09,0.74,0,0.19
82197,HQ,FEF DI,stream,3/2/20,0.03,monitoring,,0.02,0.03,0,0.02,0.01,0.01,0.01,0,0.01,0,0.02
82199,Fcex,FCALP BULK,stream,3/11/20,2.48,monitoring,810,0.52,0.01,0.22,0.01,0.01,0.47,0.01,0.12,0.66,0,0.28
82201,HQ,HQ BULK,stream,3/11/20,3.72,monitoring,1120,0.8,0.09,0.31,0,0.19,0.41,0.02,0.13,0.89,0,0.33
82202,HQ,HQ N-CON,stream,3/11/20,1.83,monitoring,1120,0.63,0.08,0.35,0.04,0,0.45,0.02,0.16,0.95,0,0.3
82203,Fcex,FCALP BULK,stream,3/17/20,2.27,monitoring,730,0.34,0.03,0.1,0.07,0.13,0.13,0.03,0.03,0.33,0,0.23
82204,HQ,HQ N-CON,stream,3/17/20,1.05,monitoring,810,0.43,0.05,0.29,0.03,0.05,0.44,0.01,0.08,0.8,0,0.39
82205,HQ,HQ BULK,stream,3/17/20,3.65,monitoring,810,0.71,0.06,0.26,0.04,0.05,0.44,0.02,0.06,0.69,0,0.46
82208,Fcex,FCALP BULK,stream,3/24/20,0.82,monitoring,1200,0.15,0.02,0.09,0.02,0.03,0.29,0.01,0.02,0.17,0,0.15
82211,HQ,HQ N-CON,stream,3/24/20,0.52,monitoring,1320,0.16,0.02,0.13,0.02,0.04,0.37,0.01,0.02,0.25,0,0.18
82212,HQ,HQ BULK,stream,3/24/20,1.48,monitoring,1320,0.28,0.02,0.13,0.02,0.03,0.28,0.01,0.03,0.25,0,0.18
82213,Fcex,FCALP SNOW,stream,3/31/20,0.63,monitoring,730,0.13,0.03,0.07,0.05,0.02,0.28,0.01,0.04,0.26,0,0.16
82214,Fcex,FCALP BULK,stream,3/31/20,1.55,monitoring,730,0.33,0.04,0.15,0,0.08,0.28,0.03,0.05,0.38,0,0.21
82218,HQ,HQ SNOW,stream,3/31/20,0.69,monitoring,1215,0.13,0.04,0.09,0,0.05,0.26,0.01,0.05,0.31,0,0.17
82219,HQ,HQ BULK,stream,3/31/20,0.97,monitoring,1230,0.32,0.05,0.21,0.01,0.07,0.52,0.02,0.06,0.58,0,0.26
82220,HQ,HQ N-CON,stream,3/31/20,0.53,monitoring,1350,0.37,0.04,0.21,0.01,0.07,0.85,0.01,0.06,0.57,0,0.28
82223,HQ,HQ N-CON,stream,4/8/20,0.76,monitoring,1010,0.28,0.06,0.18,0.02,0.06,0.49,0.02,0.07,0.38,0,0.21
82224,HQ,HQ BULK,stream,4/8/20,1.36,monitoring,1010,0.35,0.11,0.16,0.08,0.14,0.33,0.02,0.05,0.39,0,0.27
82225,Fcex,FCALP BULK,stream,4/8/20,1.44,monitoring,1010,0.32,0.06,0.17,0.02,0.11,0.15,0.03,0.07,0.28,0,0.2
82226,HQ,FEF DI,stream,4/8/20,0.05,monitoring,,0.01,0.03,0.01,0.02,0.01,0,0,0,0,0,0.03
82229,Fcex,FCALP BULK,stream,4/15/20,1.11,monitoring,910,0.32,0.02,0.21,0.02,0.1,0.19,0.02,0.04,0.27,0,0.24
82230,HQ,HQ BULK,stream,4/15/20,2.03,monitoring,1015,0.54,0.05,0.25,0.02,0.1,0.45,0.02,0.05,0.45,0,0.34
