ID,watershed,reach,position,DATE,doc_mg.l,TYPE,Time,tdn_mg.l,na_mg.l,nh4_mg.l,K_mg.l,Mg_mg.l,Ca_mg.l,F_mg.l,Cl_mg.l,NO3_mg.l,PO4_mg.l,SO4_mg.l
82287,SSFP,SSFP WELL F3.5 ,3.5,5/14/20,20.65,monitoring,1135,2.65,2.47,0.28,1.75,1.35,5.84,0.04,1.42,5.82,0,2.98
82312,SSFP,SSFP WELL F3.5 ,3.5,5/20/20,21.83,monitoring,,1.05,,,,,,,,,,
82142,STL,WSL W/D, W/D,1/2/20,0.42,monitoring,900,0.1,0.01,0.04,0.02,0.12,0.4,0.01,0.04,0.25,0,0.08
82147,STL,WSL W/D, W/D,1/7/20,0.47,monitoring,1000,0.17,0.02,0.08,0.01,0.05,0.7,0.01,0.02,0.39,0,0.1
82154,STL,WSL W/D, W/D,1/15/20,0.27,monitoring,1000,0.1,0.01,0.04,0.01,0,0.45,0,0.03,0.32,0,0.05
82160,STL,WSL W/D, W/D,1/21/20,0.5,monitoring,1150,0.09,0.05,0.05,0,0.01,0.1,0.01,0.01,0.1,0,0.07
82166,STL,WSL W/D, W/D,1/28/20,0.4,monitoring,930,0.07,0.04,0.04,0.1,0.06,0.47,0.02,0.05,0.15,0,0.23
82174,STL,WSL W/D, W/D,2/3/20,0.91,monitoring,1010,0.09,0.01,0.04,0.01,0,0.22,0,0.04,0.1,0,0.04
82179,STL,WSL W/D, W/D,2/19/20,0.31,monitoring,930,0.11,0.02,0.07,0.01,0.01,0.41,0,0.03,0.25,0,0.03
82185,STL,WSL W/D, W/D,2/26/20,0.91,monitoring,920,0.24,0.05,0.07,0.02,0,0.27,0,0.09,0.37,0,0.12
82192,STL,WSL W/D, W/D,3/2/20,0.46,monitoring,850,0.19,0.03,0.04,0,0,0.28,0,0.05,0.42,0,0.12
82198,STL,WSL W/D, W/D,3/11/20,0.53,monitoring,900,0.2,0.05,0.08,0,0.09,0.22,0.01,0.06,0.36,0,0.17
82206,STL,WSL W/D, W/D,3/17/20,0.78,monitoring,950,0.19,0.03,0.08,0.02,0.03,0.28,0,0.03,0.29,0,0.21
82210,STL,WSL W/D, W/D,3/24/20,0.31,monitoring,1250,0.1,0.01,0.09,0.01,0.03,0.24,0,0.01,0.16,0,0.16
82217,STL,WSL W/D, W/D,3/31/20,0.59,monitoring,1110,0.14,0.04,0.02,0.01,0.04,0.22,0.02,0.03,0.29,0,0.16
82222,STL,WSL W/D, W/D,4/8/20,0.72,monitoring,950,0.16,0.03,0.02,0.02,0.05,0.2,0.03,0.03,0.21,0,0.15
82228,STL,WSL W/D, W/D,4/15/20,0.68,monitoring,810,0.27,0.02,0.03,0.02,0.08,0.43,0.02,0.03,0.23,0,0.2
82233,STL,WSL W/D, W/D,4/21/20,0.52,monitoring,720,0.13,0.02,0.08,0.01,0.08,0.46,0.02,0.04,0.18,0,0.1
82243,STL,WSL W/D, W/D,4/28/20,0.6,monitoring,1220,0.16,0.02,0.1,0.01,0.08,0.57,0.01,0.04,0.22,0,0.13
82259,STL,WSL W/D, W/D,5/5/20,1.32,monitoring,740,0.5,0.07,0.08,0.05,0.12,0.47,0.02,0.09,0.6,0,0.44
82275,STL,WSL W/D, W/D,5/12/20,1.02,monitoring,810,0.22,0.03,0.04,0.02,0.12,0.35,0.02,0.05,0.27,0,0.17
82338,STL,WSL W/D, W/D,5/27/20,1.34,monitoring,600,0.34,0.03,0.07,0.01,0.06,0.44,0.02,0.06,0.32,0,0.11
82370,STL,WSL W/D, W/D,6/10/20,1.82,monitoring,1100,0.29,0.07,0.07,0.03,0.1,0.46,0.02,0.11,0.41,0,0.16
82399,STL,WSL W/D, W/D,6/23/20,3.08,monitoring,740,0.72,0.1,0.04,0.05,0.11,0.25,0.04,0.14,0.77,0,0.5
82418,STL,WSL W/D, W/D,6/30/20,4.59,monitoring,820,0.63,0.1,0.09,0.12,0.11,0.3,0.04,0.15,0.98,0,0.73
82467,STL,WSL W/D, W/D,7/21/20,4.79,monitoring,930,1.42,0.13,0.14,0.11,0.02,0.11,0.04,0.22,1.84,0,0.99
82494,STL,WSL W/D, W/D,7/28/20,2.28,monitoring,820,0.37,0.04,0.21,0,0.02,0.04,0,0.06,0.59,0,0.24
82506,STL,WSL W/D, W/D,8/4/20,3.37,monitoring,720,0.57,0.08,0.19,0.06,0.48,3.35,0.01,0.14,1.08,0.08,0.59
82546,STL,WSL W/D, W/D,8/25/20,3.07,monitoring,750,7.18,0.18,0.36,0.87,0.32,4.32,0.03,0.4,5.36,0,0.53
82556,STL,WSL W/D, W/D,9/1/20,3.4,monitoring,815,1.16,0.36,0.59,0.2,0.28,4.72,0.01,0.12,1.22,0,0.83
82571,STL,WSL W/D, W/D,9/9/20,4.49,monitoring,930,1.28,0.1,0.59,0.21,0.25,4.69,0.02,0.12,0.43,0,0.16
82624,STL,WSL W/D, W/D,10/15/20,1.93,monitoring,940,0.89,0.03,0.49,0.1,0.24,2.29,0.02,0.03,0.28,0,0.18
82626,STL,WSL W/D, W/D,10/27/20,0.76,monitoring,910,0.83,0.06,0.56,0.01,0.01,0.37,0.03,0.02,0.21,0,0.04
82634,STL,WSL W/D, W/D,11/17/20,0.85,monitoring,920,0.37,0.03,0.23,0.01,0.01,0.26,0,0.02,0.15,0,0.15
82635,STL,WSL W/D, W/D,11/25/20,0.85,monitoring,920,0.51,0.12,0.25,0.06,0.01,0.28,0,0.02,0.22,0,0.32
82646,STL,WSL W/D, W/D,11/30/20,1.03,monitoring,745,1.88,0.09,0.15,0.08,0.04,0.24,0.01,0.07,0.34,0,0.19
82647,STL,WSL W/D, W/D,12/7/20,1.01,monitoring,940,0.27,0.04,0.18,0.04,0.05,0.28,0,0.02,0.37,0,0.17
82652,STL,WSL W/D, W/D,12/16/20,0.5,monitoring,930,0.21,0.04,0.06,0.01,0.03,0.05,0,0.02,0.32,0,0.06
82658,STL,WSL W/D, W/D,12/22/20,0.67,monitoring,950,0.2,0.1,0.04,0.01,0.04,0.31,0,0.03,0.17,0,0.04
82662,STL,WSL W/D, W/D,12/29/20,0.7,monitoring,1010,0.27,0.05,0.09,0.01,0.02,0.24,0,0.02,0.28,0,0.05
82143,STL,WSL BULK,BULK,1/2/20,0.94,monitoring,900,0.16,0.01,0.03,0,0.04,0.07,0,0.01,0.22,0,0.04
82148,STL,WSL BULK,BULK,1/7/20,0.79,monitoring,1000,0.18,0.02,0.1,0,0,0.07,0.01,0.04,0.33,0,0.09
82153,STL,WSL BULK,BULK,1/15/20,0.95,monitoring,1000,0.2,0.03,0.07,0.01,0.04,0.02,0.01,0.07,0.45,0,0.09
82159,STL,WSL BULK,BULK,1/21/20,1.59,monitoring,1150,0.21,0.04,0.07,0,0.08,0.09,0.01,0.02,0.15,0,0.09
82165,STL,WSL BULK,BULK,1/28/20,0.86,monitoring,930,0.15,0.03,0.06,0,0.02,0.03,0.03,0.01,0.15,0,0.12
82175,STL,WSL BULK,BULK,2/3/20,2.02,monitoring,1010,0.28,0.03,0.07,0,0.02,0.04,0.02,0.09,0.27,0,0.04
82178,STL,WSL BULK,BULK,2/19/20,0.61,monitoring,930,0.13,0.03,0.1,0,0.07,0.12,0,0.03,0.25,0,0.01
82184,STL,WSL BULK,BULK,2/26/20,0.72,monitoring,920,0.25,0.05,0.15,0.01,0,0.03,0,0.11,0.27,0,0.19
82193,STL,WSL BULK,BULK,3/2/20,1.2,monitoring,850,0.31,0.04,0.22,0.02,0.01,0.09,0,0.08,0.63,0,0.15
82200,STL,WSL BULK,BULK,3/11/20,1.9,monitoring,900,0.57,0.32,0.12,0.03,0,0.06,0.04,0.13,0.67,0,0.28
82207,STL,WSL BULK,BULK,3/17/20,2.39,monitoring,950,0.47,0.03,0.15,0.02,0.03,0.12,0.01,0.05,0.41,0,0.29
82209,STL,WSL BULK,BULK,3/24/20,0.94,monitoring,1250,0.19,0.02,0.12,0.02,0.03,0.13,0,0.02,0.22,0,0.19
82216,STL,WSL BULK,BULK,3/31/20,0.84,monitoring,1110,0.29,0.23,0.09,0.01,0.06,0.28,0.02,0.06,0.36,0,0.22
82221,STL,WSL BULK,BULK,4/8/20,1.99,monitoring,950,0.38,0.04,0.14,0.01,0.06,0.33,0.01,0.04,0.29,0,0.26
82227,STL,WSL BULK,BULK,4/15/20,1.06,monitoring,810,0.34,0.02,0.2,0.01,0.09,0.25,0.01,0.03,0.27,0,0.23
82232,STL,WSL BULK,BULK,4/21/20,1.23,monitoring,720,0.25,0.03,0.19,0,0.14,0.46,0.01,0.05,0.23,0,0.14
82242,STL,WSL BULK,BULK,4/28/20,1.46,monitoring,1220,0.29,0.02,0.24,0.01,0.07,1.08,0.01,0.04,0.26,0,0.18
82258,STL,WSL BULK,BULK,5/5/20,1.77,monitoring,740,0.53,0.07,0.33,0.06,0.1,0.91,0.02,0.09,0.68,0,0.49
82274,STL,WSL BULK,BULK,5/12/20,3.23,monitoring,810,0.64,0.05,0.35,0.05,0.1,1.18,0.01,0.08,0.51,0,0.26
82339,STL,WSL BULK,BULK,5/27/20,3.28,monitoring,,0.83,0.06,0.34,0.01,0.08,1.06,0.05,0.08,0.48,0,0.22
82371,STL,WSL BULK,BULK,6/10/20,3.16,monitoring,1100,0.84,0.07,0.34,0.06,0.11,0.79,0.02,0.1,0.5,0,0.21
82398,STL,WSL BULK,BULK,6/23/20,5.76,monitoring,740,1.12,0.25,0.61,0.31,0.14,1.57,0.01,0.35,0.99,0,0.66
82417,STL,WSL BULK,BULK,6/30/20,7.45,monitoring,820,1.3,0.14,0.49,0.6,0.18,1.68,0.02,0.21,1.59,0,0.66
82468,STL,WSL BULK,BULK,7/21/20,10.12,monitoring,930,3.27,0.25,2.16,0.2,0.11,1.74,0.01,0.45,5.23,0,0.65
82496,STL,WSL BULK,BULK,7/28/20,5.39,monitoring,820,0.77,0.04,0.39,0.12,0.16,1.33,0.02,0.06,0.73,0,1.04
82507,STL,WSL BULK,BULK,8/4/20,9.07,monitoring,720,1.6,0.09,0.81,0.32,0.16,1.27,0.09,0.15,1.75,0.14,0.93
82547,STL,WSL BULK,BULK,8/25/20,,monitoring,750,,0.47,0.38,0.19,0.15,1.7,0.01,0.7,4.71,0,1.34
82557,STL,WSL BULK,BULK,9/1/20,4.65,monitoring,815,1.35,0.09,1.11,0.56,0.29,1.64,0.03,0.14,1.59,0,0.96
82569,STL,WSL BULK,BULK,9/9/20,,monitoring,930,,,,,,,,,,,
82585,STL,WSL BULK,BULK,9/14/20,1.42,monitoring,1020,0.28,0.04,0.18,0.14,0.26,1.4,0.02,0.04,0.37,0,0.11
82586,STL,WSL BULK,BULK,9/14/20,1.14,monitoring,1020,0.27,0.08,0.2,0.13,0.07,1.37,0.01,0.06,0.34,0,0.13
82623,STL,WSL BULK,BULK,10/15/20,5.2,monitoring,940,0.51,0.1,0.22,0.16,0.13,1.2,0.03,0.12,0.41,0,0.97
82625,STL,WSL BULK,BULK,10/27/20,1.1,monitoring,910,0.39,0.06,0.24,0.02,0.1,0.86,0.02,0.04,0.28,0,0.18
82633,STL,WSL BULK,BULK,11/17/20,0.85,monitoring,920,0.44,0.04,0.19,0.05,0.08,0.75,0,0.02,0.2,0,0.16
82636,STL,WSL BULK,BULK,11/25/20,0.68,monitoring,920,0.53,0.05,0.26,0.04,0.08,0.45,0,0.02,0.3,0,0.23
82644,STL,WSL BULK,BULK,11/30/20,2.46,monitoring,745,0.42,0.09,0.33,0.15,0.05,0.33,0,0.05,0.57,0,0.28
82649,STL,WSL BULK,BULK,12/7/20,1,monitoring,940,0.46,0.05,0.23,0.06,0.07,0.4,0,0.03,0.4,0,0.13
82653,STL,WSL BULK,BULK,12/16/20,0.67,monitoring,930,0.36,0.04,0.15,0.05,0.06,0.28,0,0.03,0.34,0,0.07
82657,STL,WSL BULK,BULK,12/22/20,0.81,monitoring,950,0.27,0.03,0.23,0.04,0.04,0.25,0,0.04,0.36,0,0.15
82663,STL,WSL BULK,BULK,12/29/20,0.61,monitoring,1010,0.37,0.06,0.31,0.01,0.03,0.28,0,0.02,0.28,0,0.05
82313,SSFP,SSFP WELL C1.1,C1.1,5/20/20,3.9,monitoring,,0.23,,,,,,,,,,
82322,SSFP,SSFP WELL C1.1,C1.1,5/29/20,3.73,monitoring,1151,0.24,,,,,,,,,,
82294,SSFP,SSFP WELL C1.5,C1.5,5/14/20,,monitoring,1335,,,,,,,,,,,
82317,SSFP,SSFP WELL C1.5,C1.5,5/20/20,,monitoring,,,,,,,,,,,,
82324,SSFP,SSFP WELL C1.5,C1.5,5/29/20,,monitoring,1235,,,,,,,,,,,
82361,SSFP,SSFP WELL C1.5,C1.5,6/11/20,,monitoring,1447,,,,,,,,,,,
82290,SSFP,SSFP WELL C2.1,C2.1,5/14/20,,monitoring,1432,,1.03,0.04,0.46,0.7,4.6,0.03,0.14,0.04,0,1.11
82314,SSFP,SSFP WELL C2.1,C2.1,5/20/20,6.57,monitoring,,0.32,1.17,0.03,0.57,0.83,3.92,0.06,0.2,0.06,0,1.09
82323,SSFP,SSFP WELL C2.1,C2.1,5/29/20,6.01,monitoring,1207,0.23,1.87,0.04,1.06,0.54,4.61,0.05,0.27,0.04,0,1.43
82356,SSFP,SSFP WELL C2.1,C2.1,6/4/20,,monitoring,1316,,,,,,,,,,,
82289,SSFP,SSFP WELL C2.3,C2.3,5/14/20,6.05,monitoring,1358,0.3,1.03,0.02,0.57,0.78,3.23,0.02,0.22,0.06,0,1.35
82316,SSFP,SSFP WELL C2.3,C2.3,5/20/20,6.91,monitoring,,0.35,1.01,0.01,0.54,0.81,3.27,0,0.22,0.06,0,1.36
82288,SSFP,SSFP WELL C2.5,C2.5,5/14/20,,monitoring,1320,,0.13,0.07,0.9,0.54,2.96,0.01,0.12,0.06,0,0.18
82362,SSFP,SSFP WELL C2.5,C2.5,6/11/20,,monitoring,1455,,,,,,,,,,,
82315,SSFP,SSFP WELL C3.1,C3.1,5/20/20,6.25,monitoring,,0.39,1.27,0.02,0.86,0.71,4.26,0,0.59,0.08,0,1.69
82291,SSFP,SSFP WELL C3.5,C3.5,5/14/20,,monitoring,1241,,,,,,,,,,,
82306,SSFP,SSFP WELL F1.1,F1.1,5/20/20,16.7,monitoring,,0.72,1.63,0.09,0.51,1.02,4.61,0.04,0.65,0.09,0,2.04
82357,SSFP,SSFP WELL F1.1,F1.1,6/11/20,,monitoring,1050,,,,,,,,,,,
82292,SSFP,SSFP WELL F1.5,F1.5,5/14/20,,monitoring,1220,,,,,,,,,,,
82310,SSFP,SSFP WELL F1.5,F1.5,5/20/20,16.82,monitoring,,1.81,,,,,,,,,,
82285,SSFP,SSFP WELL F2.1,F2.1,5/14/20,23.73,monitoring,1040,0.63,1.54,0.02,0.6,1.06,4.06,0.01,0.45,0.13,0,1.58
82307,SSFP,SSFP WELL F2.1,F2.1,5/20/20,20.34,monitoring,,0.5,1.6,0.02,0.58,1.05,4.32,0,0.32,0.04,0,1.51
82319,SSFP,SSFP WELL F2.1,F2.1,5/29/20,16.75,monitoring,940,0.47,1.89,0.03,0.57,0.75,3.69,0.03,0.45,0.04,0,2.01
82354,SSFP,SSFP WELL F2.1,F2.1,6/4/20,15.58,monitoring,945,0.45,2,0.04,0.68,0.82,3.25,0.01,0.41,0.05,0,2.03
82358,SSFP,SSFP WELL F2.1,F2.1,6/11/20,14.23,monitoring,1055,0.42,1.84,0.03,0.84,0.87,3.58,0,0.41,0.05,0,2.07
82378,SSFP,SSFP WELL F2.1,F2.1,6/17/20,,monitoring,1032,,,,,,,,,,,
82286,SSFP,SSFP WELL F2.3,F2.3,5/14/20,22.49,monitoring,1125,0.62,1.48,0.02,0.64,1.14,4.94,0.03,0.7,0.05,0,2.16
82309,SSFP,SSFP WELL F2.3,F2.3,5/20/20,20.73,monitoring,,0.57,1.53,0.01,0.56,1.13,4.71,0,0.51,0.04,0,1.91
82320,SSFP,SSFP WELL F2.3,F2.3,5/29/20,19.63,monitoring,1008,1.04,2.15,0.04,1.03,0.86,4.68,0.01,1.02,0.05,0,2.03
82355,SSFP,SSFP WELL F2.3,F2.3,6/4/20,17.08,monitoring,1005,0.59,1.93,0.05,0.86,0.89,4.69,0.01,0.73,0.04,0,2.09
82360,SSFP,SSFP WELL F2.3,F2.3,6/11/20,,monitoring,1102,,,,,,,,,,,
82293,SSFP,SSFP WELL F2.5,F2.5,5/14/20,,monitoring,1202,,,,,,,,,,,
82311,SSFP,SSFP WELL F2.5,F2.5,5/20/20,,monitoring,,,,,,,,,,,,
82308,SSFP,SSFP WELL F3.1,F3.1,5/20/20,20.28,monitoring,,0.51,1.95,0.03,0.46,1.15,4.55,0.03,0.66,0.1,0,1.26
82359,SSFP,SSFP WELL F3.1,F3.1,6/11/20,,monitoring,1100,,,,,,,,,,,
82321,SSFP,SSFP WELL F3.5,F3.5,5/29/20,,monitoring,1035,,,,,,,,,,,
82503,STL,ST LOUIS LAKE OUTLET,lake,7/30/20,0.93,monitoring,7000,0.11,0.84,0.03,0.67,1.87,9.28,0.04,0.06,0.02,0,5.22
82504,STL,ST LOUIS LAKE SOUTH SIDE SHORE,lake,7/30/20,0.95,monitoring,730,0.1,0.81,0.03,0.67,1.99,8.63,0.03,0.06,0.04,0,5.17
82521,FC,FC4,lw1,8/12/20,2.59,monitoring,1500,0.6,,,,,,,,,,
82525,FC,FC1,lw1,8/12/20,11.68,monitoring,1630,1.08,,,,,,,,,,
82529,Lexen,Lexen1,lw1,8/12/20,,monitoring,1845,,,,,,,,,,,
82533,DH,DH1,lw1,8/12/20,1.03,monitoring,2000,0.24,,,,,,,,,,
82526,FC,FC1,lw2,8/12/20,9.4,monitoring,1645,0.75,,,,,,,,,,
82530,Lexen,Lexen1,lw2,8/12/20,,monitoring,1830,,,,,,,,,,,
82534,DH,DH1,lw2,8/12/20,1.77,monitoring,2010,0.24,,,,,,,,,,
82522,FC,FC4,rw1,8/12/20,3.42,monitoring,1515,0.73,,,,,,,,,,
82524,FC,FC1,rw1,8/12/20,3.54,monitoring,1620,0.59,,,,,,,,,,
82531,Lexen,Lexen1,rw1,8/12/20,,monitoring,1850,,,,,,,,,,,
82167,FCex,FC1 SNOW,snow,1/28/20,0.79,monitoring,1011,0.14,0.05,0.07,0.07,0.04,0.44,0.02,0.03,0.24,0,0.11
82191,FCex,FC1 SNOW,snow,2/26/20,0.63,monitoring,1500,0.15,0.03,0.06,0.05,0.03,0.3,0.01,0.04,0.31,0,0.08
82215,FCex,FC1 SNOW,snow,3/31/20,0.77,monitoring,815,0.18,0.05,0.04,0.01,0.04,0.26,0.01,0.06,0.32,0,0.2
82239,FCex,FC1 SNOW,snow,4/28/20,1.26,monitoring,800,0.2,0.03,0.07,0.05,0.03,0.25,0,0.06,0.24,0,0.08
82640,FCex,FC1 SNOW,snow,11/30/20,1.48,monitoring,1245,0.5,0.05,0.06,0.18,0.02,0.18,0,0.04,0.2,0,0.16
82665,FCex,FC1 SNOW,snow,12/29/20,0.85,monitoring,1310,0.27,0.03,0.01,0.03,0.03,0.11,0.01,0.03,0.29,0,0.06
